userId,tags,activityId,rating
1,,attending museums,4
1,,ferret racing,4
1,,jigsaw puzzles,4
1,,helping out at soup kitchen and shelter,1
1,,donating to the red cross,1
1,,going for night classes,1
1,,Travelling with parents,5
1,,Going home for dinner,5
1,,social card games,5
1,,listening to music,5
1,,working on cars,5
1,,horse riding,5
1,,golfing with some buddies,2
1,,baking cakes at home,2
1,,vandalising bus stops,3
1,,theatre shows with friends,2
1,,spreading fake news on Facebook,1
1,,planking at the local pilates class,3
1,,gyming after work,3
1,,drone photography,1
1,,stealing candy from babies,3
1,,eating out,3
1,,painting at art jamming,1
1,,watching television,2
1,,recycling old clothes,2
1,,reading books in the library,1
1,,watching YouTube videos,1
1,,watching sports,3
1,,sailing out at sea with family,5
2,,attending museums,4
2,,ferret racing,1
2,,jigsaw puzzles,1
2,,helping out at soup kitchen and shelter,1
2,,donating to the red cross,1
2,,going for night classes,4
2,,Travelling with parents,1
2,,Going home for dinner,2
2,,social card games,3
2,,listening to music,4
2,,working on cars,2
2,,horse riding,3
2,,golfing with some buddies,5
2,,baking cakes at home,5
2,,vandalising bus stops,5
2,,theatre shows with friends,5
2,,spreading fake news on Facebook,5
2,,planking at the local pilates class,5
2,,gyming after work,4
2,,drone photography,1
2,,stealing candy from babies,4
2,,eating out,4
2,,painting at art jamming,1
2,,watching television,4
2,,recycling old clothes,1
2,,reading books in the library,3
2,,watching YouTube videos,4
2,,watching sports,1
2,,sailing out at sea with family,3
3,,attending museums,3
3,,ferret racing,1
3,,jigsaw puzzles,1
3,,helping out at soup kitchen and shelter,1
3,,donating to the red cross,1
3,,going for night classes,2
3,,Travelling with parents,2
3,,Going home for dinner,1
3,,social card games,3
3,,listening to music,4
3,,working on cars,1
3,,horse riding,1
3,,golfing with some buddies,1
3,,baking cakes at home,1
3,,vandalising bus stops,5
3,,theatre shows with friends,5
3,,spreading fake news on Facebook,5
3,,planking at the local pilates class,5
3,,gyming after work,5
3,,drone photography,5
3,,stealing candy from babies,5
3,,eating out,5
3,,painting at art jamming,2
3,,watching television,3
3,,recycling old clothes,1
3,,reading books in the library,1
3,,watching YouTube videos,4
3,,watching sports,1
3,,sailing out at sea with family,3
4,,attending museums,4
4,,ferret racing,1
4,,jigsaw puzzles,4
4,,helping out at soup kitchen and shelter,5
4,,donating to the red cross,5
4,,going for night classes,4
4,,Travelling with parents,1
4,,Going home for dinner,5
4,,social card games,3
4,,listening to music,4
4,,working on cars,1
4,,horse riding,1
